customer_id,name,birthday,location,status,course,salary
CUST407,Carlos Ramos,2003-08-25,cagayan de oro,Single,,
CUST771,ANGELA GONZALES,2001-04-30,Quezon City,single,Graduate,58985
CUST380,Jose Rivera,1988-02-19,Quezon City,divorce,,
CUST623,Miguel Dela Cruz,1974-09-20,Cebu,married,BSIT,
CUST276,Jose Santos,1972-10-03,Cagayan de Oro,single,BSIT,
CUST157,MARIA DELA CRUZ,2002-07-11,pasig,Divorce,BSED,
CUST932,Miguel Santos,1984-10-04,Pasig,single,BSIT,
CUST103,Carlos Dela Cruz,1999-07-12,Cebu,divorce,BSN,
CUST162,Ana Mendoza,1982-03-27,Taguig,married,BSCS,
CUST932,Maria Ramos,1998-02-07,Iloilo,single,Graduate,63618
CUST71,Maria Torres,1995-05-11,,Single,AB Psych,53743
CUST475,Maria Santos,1979-12-08,baguio,divorce,,
CUST189,Mark Reyes,1971-08-14,cebu,married,AB Psych,
CUST517,Mark Torres,2003-02-21,Baguio,married,Graduate,101242
CUST309, Sofia Torres ,1994-12-14,iloilo,single,AB Psych,20410
CUST263,Liza Reyes,1997-11-07,cebu,single,Graduate,92945
CUST453, Sofia Garcia ,1988-06-16,Makati,single,,
CUST31, Maria Ramos ,1994-04-04,Pasig,single,BSIT,22140
CUST219,Jose Reyes,1997-04-26,Taguig,married,BSBA,15755
CUST654,LIZA TORRES,1996-11-06,baguio,Divorce,BSBA,
CUST851,Sofia Reyes,1982-08-07,Taguig,single,Graduate,117546
CUST160,Juan Flores,1970-07-20,Makati,,BSED,
CUST272,CARLOS TORRES,1998-03-04,Cagayan de Oro,Married,Graduate,92478
CUST483,Mark Dela Cruz,1990-05-14,Pasig,married,,
CUST75,Mark Reyes,1990-12-03,Iloilo,married,BSN,
CUST947,LIZA FLORES,1986-02-17,Makati,single,BSN,
CUST432,Ana Reyes,1974-11-03,Cagayan de Oro,married,BSBA,
CUST286,Juan Santos,1974-10-09,pasig,divorce,BSIT,
CUST854,Liza Flores,2005-12-20,Cagayan de Oro,married,,
CUST867,SOFIA GARCIA,1981-08-28,quezon city,Divorce,BSN,
CUST694, Liza Mendoza ,2002-04-06,quezon city,married,BSN,
CUST744,Carlos Dela Cruz,1974-06-06,Iloilo,married,BSN,
CUST611, Sofia Dela Cruz ,1985-11-18,Makati,married,BSIT,
CUST738,SOFIA RAMOS,1980-02-06,Manila,divorce,AB Psych,53031
CUST252,Ana Gonzales,1998-06-15,Makati,married,BSBA,49234
CUST663, Maria Mendoza ,1982-07-08,Cebu,single,BSIT,
CUST189, JOSE GARCIA ,1998-06-06,iloilo,Married,BSCS,
CUST842,Ana Reyes,1994-11-03,cagayan de oro,married,AB Psych,46809
CUST489,JOSE GONZALES,1985-10-24,Davao,Single,Graduate,100863
CUST167,Sofia Gonzales,1980-04-06,Taguig,,BSED,
CUST556,Maria Garcia,1996-01-27,Quezon City,single,Graduate,64839
CUST587, Jose Santos ,1980-08-22,Iloilo,Divorce,,
CUST708, MARK SANTOS ,1991-01-23,Taguig,married,BSIT,
CUST711,Carlos Mendoza,1974-04-02,Baguio,single,BSN,42282
CUST55,CARLOS GARCIA,1997-08-16,quezon city,married,Graduate,35023
CUST479, Carlos Santos ,1978-06-29,Davao,divorce,BSCS,
CUST105, Juan Torres ,1997-12-21,iloilo,Single,AB Psych,
CUST142,Miguel Mendoza,1977-01-09,Cebu,single,BSCS,
CUST648,Sofia Dela Cruz,1996-11-09,Davao,Single,BSED,
CUST242,Miguel Ramos,1988-10-06,Manila,divorce,BSCS,
CUST788, LIZA SANTOS ,1974-07-11,cagayan de oro,Divorce,BSN,
CUST253,Jose Mendoza,1970-12-12,Cebu,Single,Graduate,30236
CUST874, ANGELA GONZALES ,1985-04-18,Manila,single,BSN,
CUST115,JOSE RAMOS,1982-05-03,Iloilo,divorce,BSIT,
CUST482,Juan Garcia,1975-12-04,Iloilo,married,BSED,
CUST168,Sofia Rivera,1983-02-21,Cagayan de Oro,divorce,AB Psych,
CUST489,Sofia Santos,1994-05-02,Makati,divorce,BSED,
CUST70,Carlos Santos,1981-06-03,Baguio,divorce,BSCS,23229
CUST531,MARK TORRES,1998-04-13,iloilo,single,BSN,
CUST32,Jose Santos,1977-08-24,Quezon City,Married,BSBA,
CUST206,Liza Reyes,1977-01-23,Manila,married,Graduate,83534
CUST122,Jose Flores,1977-05-28,Cebu,single,Graduate,44521
CUST624,Mark Mendoza,1992-01-02,davao,Married,BSED,
CUST271,CARLOS SANTOS,1971-11-02,Davao,married,AB Psych,
CUST509, MARIA GARCIA ,1983-11-25,Davao,single,AB Psych,
CUST714,Sofia Garcia,1977-01-22,Cagayan de Oro,divorce,AB Psych,49345
CUST842,Mark Torres,1988-06-26,Quezon City,married,AB Psych,
CUST382,Sofia Ramos,1986-12-12,Makati,Married,BSED,32413
CUST492,Juan Ramos,2005-12-22,Taguig,married,Graduate,57337
CUST922,Juan Rivera,2004-12-15,Cebu,married,Graduate,40401
CUST831,Jose Rivera,2000-08-20,Manila,divorce,AB Psych,
CUST512,Juan Mendoza,2003-04-26,Quezon City,single,,
