Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Performance_Score,Remote_Work,Phone_formatted,Salary_Formatted,Age_Formatted,Role,Department
EMP1000,Bob,Davis,25,DevOps-California,Active,'2021-04-02',59767.65,bob.davis@gmail.com,Average,T,+1651623197,"USD 59,767.65",25,DevOps,California
EMP1001,Bob,Brown,Missing,Finance-Texas,Active,'2020-07-10',65304.66,bob.brown@gmail.com,Excellent,T,+1898471390,"USD 65,304.66",30,Finance,Texas
EMP1002,Alice,Jones,Missing,Admin-Nevada,Pending,'2023-12-07',88145.9,alice.jones@gmail.com,Good,T,+5596363211,"USD 88,145.90",30,Admin,Nevada
EMP1003,Eva,Davis,25,Admin-Nevada,Inactive,'2021-11-27',69450.99,eva.davis@gmail.com,Good,T,+3476490784,"USD 69,450.99",25,Admin,Nevada
EMP1004,Frank,Williams,25,Cloud Tech-Florida,Active,'2022-01-05',109324.61,frank.williams@gmail.com,Poor,F,+1586734256,"USD 109,324.61",25,Cloud Tech,Florida
EMP1005,Alice,Garcia,40,Sales-Texas,Inactive,'2020-06-10',88642.84,alice.garcia@gmail.com,Good,F,+5409003485,"USD 88,642.84",40,Sales,Texas
EMP1006,Frank,Jones,Missing,Admin-Nevada,Active,'2020-04-03',96288.43,frank.jones@gmail.com,Good,F,+4518376063,"USD 96,288.43",30,Admin,Nevada
EMP1007,Bob,Jones,30,Cloud Tech-Florida,Inactive,'2022-07-17',94497.91,bob.jones@gmail.com,Average,T,+4134327559,"USD 94,497.91",30,Cloud Tech,Florida
EMP1008,Frank,Davis,35,Admin-Nevada,Inactive,'2023-12-08',115565.82,frank.davis@gmail.com,Excellent,T,+4177656123,"USD 115,565.82",35,Admin,Nevada
EMP1009,Charlie,Johnson,Missing,DevOps-New York,Active,'2022-08-04',76561.88,charlie.johnson@gmail.com,Excellent,T,+8156985699,"USD 76,561.88",30,DevOps,New York
EMP1010,David,Williams,35,Cloud Tech-New York,Active,'2024-07-06',72081.71,david.williams@gmail.com,Average,F,+2720634590,"USD 72,081.71",35,Cloud Tech,New York
EMP1011,David,Davis,Missing,DevOps-California,Active,'2023-09-04',84946.19,david.davis@gmail.com,Poor,T,+1238296576,"USD 84,946.19",30,DevOps,California
EMP1012,Heidi,Williams,30,HR-New York,Active,'2024-03-05',89295.77,heidi.williams@gmail.com,Excellent,F,+2429543164,"USD 89,295.77",30,HR,New York
EMP1013,Grace,Williams,Missing,Finance-California,Active,'2020-10-10',85666.84,grace.williams@gmail.com,Good,F,+2669300892,"USD 85,666.84",30,Finance,California
EMP1014,Alice,Garcia,25,Admin-Nevada,Active,'2024-06-10',97633.68,alice.garcia@gmail.com,Excellent,T,+1734206968,"USD 97,633.68",25,Admin,Nevada
EMP1015,Grace,Jones,40,Sales-Florida,Pending,'2021-05-29',117975.49,grace.jones@gmail.com,Good,T,+4215291085,"USD 117,975.49",40,Sales,Florida
EMP1016,Alice,Brown,25,DevOps-Illinois,Inactive,'2024-04-23',94867.33,alice.brown@gmail.com,Poor,F,+7713334475,"USD 94,867.33",25,DevOps,Illinois
EMP1017,Grace,Garcia,30,Finance-Texas,Pending,'2024-11-28',100377.65,grace.garcia@gmail.com,Average,T,+2639343625,"USD 100,377.65",30,Finance,Texas
